GPT_processed_sentence,tagged_sentence,original_passage
"<Clinical_Drug>Ramipril 7,5-0-0 mg</Clinical_Drug> <Clinical_Drug>Amlodipin 5-0-0 mg</Clinical_Drug> <Clinical_Drug>Frisium 10-0-10 mg</Clinical_Drug> <Clinical_Drug>Levetiracetam (Keppra ®) 500-0-500 mg (=23,9 mg/kg KG</Clinical_Drug>) <Clinical_Drug>Ethosuximid (Petnidan E) 250-250-250 mg (=17,9 mg/kg KG</Clinical_Drug>) <Clinical_Drug>Tacrolimus 6-0-6 mg (=0,28 mg/kg KG</Clinical_Drug>) <Clinical_Drug>Bei <Diagnosis_or_Pathology>geriatrischen tonisch-klonischen Anfällen > 3 Minuten</Diagnosis_or_Pathology>: Buccolam E 10 mg</Clinical_Drug> <Clinical_Drug>Bei <Diagnosis_or_Pathology>Blutdruckwerten >145/95 mmHg</Diagnosis_or_Pathology>: 6 Tropfen Nifedipin</Clinical_Drug> (<Clinical_Drug>Adalat E</Clinical_Drug>) (maximal alle 6-8 Stunden) Für eventuelle Rückfragen stehen wir gerne jederzeit zur Verfügung.","<Clinical_Drug>Ramipril 7,5-0-0 mg</Clinical_Drug> <Clinical_Drug>Amlodipin 5-0-0 mg</Clinical_Drug> <Clinical_Drug>Frisium 10-0-10 mg</Clinical_Drug> <Clinical_Drug>Levetiracetam (Keppra ®) 500-0-500 mg (=23,9 mg/kg KG</Clinical_Drug>) <Clinical_Drug>Ethosuximid (Petnidan E) 250-250-250 mg (=17,9 mg/kg KG</Clinical_Drug>) <Clinical_Drug>Tacrolimus 6-0-6 mg (=0,28 mg/kg KG</Clinical_Drug>) <Clinical_Drug>Bei <Diagnosis_or_Pathology>geri. ton.-klon. Anfällen > 3 Min.</Diagnosis_or_Pathology>: Buccolam E 10 mg</Clinical_Drug> <Clinical_Drug>Bei <Diagnosis_or_Pathology>Blutdruckwerten >145/95 mmHg</Diagnosis_or_Pathology> 6 gtt Nifedipin</Clinical_Drug> (<Clinical_Drug>Adalat E</Clinical_Drug>) (max. alle 6-8h) Für eventuelle Rückfragen stehen wir gerne jederzeit zur Verfügung.","{'id': 24, 'type': 'sentence', 'text': 'Ramipril 7,5-0-0 mg Amlodipin 5-0-0 mg Frisium 10-0-10 mg Levetiracetam (Keppra ®) 500-0-500 mg (=23,9 mg/kg KG) Ethosuximid (Petnidan E) 250-250-250 mg (=17,9 mg/kg KG) Tacrolimus 6-0-6 mg (=0,28 mg/kg KG) Bei geri. ton.-klon. Anfällen > 3 Min.: Buccolam E 10 mg Bei Blutdruckwerten >145/95 mmHg 6 gtt Nifedipin (Adalat E) (max. alle 6-8h) Für eventuelle Rückfragen stehen wir gerne jederzeit zur Verfügung.', 'offsets': [[5086, 5494]], 'document_id': 'Zezelj.tsv'}"
"Ihr freundliches Einverständnis voraussetzend, empfehlen wir eine Wiedervorstellung nach entsprechender Terminvereinbarung (unter 0233-220-312257) zum erneuten <Therapeutic>Stentwechsel</Therapeutic>. Da sich bereits dieses Mal der <Therapeutic>Stentwechsel</Therapeutic> als technisch schwierig erwiesen hat, sollte der nächste <Therapeutic>Wechsel</Therapeutic> unter stationären Bedingungen erfolgen, da dann möglicherweise ein <Therapeutic>perkutanes Vorgehen</Therapeutic> vorteilhaft wäre.","Ihr freundl. Einverst. voraussetzende, empfehlen wir Wiedervorstellung nach entsprechender Termin Vereinbaarung (unter 0233-220-312257) zum <Therapeutic>erneuten Stent Wechsel</Therapeutic>. Da sich bereits dieses Mal das <Therapeutic>Stetwechsel</Therapeutic> als techn. schwierig erwiesen hat, sollte nächstes <Therapeutic>Wechsel</Therapeutic> unter stat. Bedingungen erfolgen, da dann möglicherweise ein <Therapeutic>perkutanes Vorgehen</Therapeutic> vorteilhaft erwiesen würden.","{'id': 13, 'type': 'sentence', 'text': 'Ihr freundl. Einverst. voraussetzende, empfehlen wir Wiedervorstellung nach entsprechender Termin Vereinbaarung (unter 0233-220-312257) zum erneuten Stent Wechsel. Da sich bereits dieses Mal das Stetwechsel als techn. schwierig erwiesen hat, sollte nächstes Wechsel unter stat. Bedingungen erfolgen, da dann möglicherweise ein perkutanes Vorgehen vorteilhaft erwiesen würden.', 'offsets': [[1355, 1730]], 'document_id': 'Rieser.tsv'}"
<Therapeutic>Die endständige Sigmoideostomie</Therapeutic> wurde am 4.4.2063 durchgeführt.,<Therapeutic>endständige Sigmoideostomie</Therapeutic> (4.4.2063),"{'id': 19, 'type': 'sentence', 'text': 'endständige Sigmoideostomie (4.4.2063)', 'offsets': [[654, 692]], 'document_id': 'Colon_Fake_A.tsv'}"
"<Other_Finding>Ungestörte Pupillomotorik</Other_Finding>, <Diagnosis_or_Pathology>erschöpflicher horizontaler Blickrichtungsnystagmus in beide Richtungen</Diagnosis_or_Pathology>, <Other_Finding>übriger Hirnnervenstatus unauffällig</Other_Finding>. <Other_Finding>Klare Sprache</Other_Finding>. 

Substantiviert: Eine <Other_Finding>ungestörte Pupillomotorik</Other_Finding>, eine <Diagnosis_or_Pathology>erschöpfliche horizontale Blickrichtungsnystagmus in beide Richtungen</Diagnosis_or_Pathology> und ein <Other_Finding>unauffälliger übriger Hirnnervenstatus</Other_Finding> wurden festgestellt. Die <Other_Finding>Sprache</Other_Finding> war klar.","<Other_Finding>Ungestörte Pupillomotorik</Other_Finding>, <Diagnosis_or_Pathology>erschöpflicher horizontaler Blickrichtungsnystagmus in beide Richtungen</Diagnosis_or_Pathology>, <Other_Finding>übriger Hirnnervenstatus unauffällig</Other_Finding>. <Other_Finding>Klare Sprache</Other_Finding>.","{'id': 34, 'type': 'sentence', 'text': 'Ungestörte Pupillomotorik, erschöpflicher horizontaler Blickrichtungsnystagmus in beide Richtungen, übriger Hirnnervenstatus unauffällig. Klare Sprache.', 'offsets': [[3035, 3187]], 'document_id': 'Theodor.tsv'}"
<Diagnostic>Histologie</Diagnostic>: <Other_Finding>Offene Histologie</Other_Finding>.,<Diagnostic>Histologie</Diagnostic>: <Other_Finding>Histologie offen</Other_Finding>.,"{'id': 27, 'type': 'sentence', 'text': 'Histologie: Histologie offen.', 'offsets': [[1642, 1671]], 'document_id': 'Meulengracht.tsv'}"
"- weiterhin <Therapeutic>Bilanzierung, Ziel -500 - -1000ml</Therapeutic>","- weiterhin <Therapeutic>Bilanz, Ziel -500 - -1000ml</Therapeutic>","{'id': 32, 'type': 'sentence', 'text': '- weiterhin Bilanz, Ziel -500 - -1000ml', 'offsets': [[2472, 2511]], 'document_id': 'Amanda_Alzheimer.tsv'}"
"N: <Other_Finding>Isokore, lichtreagible Pupillen</Other_Finding>","N: <Other_Finding>Pupillen isokor, lichtreagibel</Other_Finding>","{'id': 27, 'type': 'sentence', 'text': 'N: Pupillen isokor, lichtreagibel', 'offsets': [[2304, 2337]], 'document_id': 'Amanda_Alzheimer.tsv'}"
Es konnte kein <Diagnostic>CT mit Kontrastmittel</Diagnostic> durchgeführt werden.,kein <Diagnostic>CT mit Kontrast durchgeführt</Diagnostic> werden.,"{'id': 35, 'type': 'sentence', 'text': 'kein CT mit Kontrast durchgeführt werden.', 'offsets': [[1458, 1499]], 'document_id': 'Colon_Fake_A.tsv'}"
"angegebene <Other_Finding>Symmetrie der Mundwinkel</Other_Finding> (<Diagnosis_or_Pathology>Asymmetrie der Nasolabialfalte rechts nach <Therapeutic>Nasen-OP</Therapeutic></Diagnosis_or_Pathology>), <Other_Finding>gerade Zunge</Other_Finding>","angegeben, <Other_Finding>Mundwinkel symmetrisch</Other_Finding> (<Diagnosis_or_Pathology>asymmetrische Nasolabialfalte re. nach <Therapeutic>Nasen-OP</Diagnosis_or_Pathology></Therapeutic>), <Other_Finding>Zunge gerade</Other_Finding>,","{'id': 134, 'type': 'sentence', 'text': 'angegeben, Mundwinkel symmetrisch (asymmetrische Nasolabialfalte re. nach Nasen-OP), Zunge gerade,', 'offsets': [[8439, 8537]], 'document_id': 'Colon_Fake_H.tsv'}"
"<Other_Finding>Herzrhythmus: Sinusrhythmus, normokard</Other_Finding>, <Other_Finding>Blutdruck: normal</Other_Finding>.","<Other_Finding>Herz: SR, normocard</Other_Finding>, <Other_Finding>HT rein</Other_Finding>.","{'id': 35, 'type': 'sentence', 'text': 'Herz: SR, normocard, HT rein.', 'offsets': [[1499, 1528]], 'document_id': 'Colon_Fake_J.tsv'}"
"Wir berichten über unsere gemeinsame Pat. Irina Popovic, geb. am 17.08.1958, die vom 11.01.-14.01.2026 <Therapeutic>einer Behandlung auf unserer unfallchirurgischen Station 4 unterzogen</Therapeutic> wurde.","wir berichten über unsere gemeinsame Pat. Irina Popovic, geb. am 17.08.1958, die vom 11.01.-14.01.2026 <Therapeutic>auf unserer unfallchirurgischen Station 4 behandelt</Therapeutic> wurde.","{'id': 2, 'type': 'sentence', 'text': 'wir berichten über unsere gemeinsame Pat. Irina Popovic, geb. am 17.08.1958, die vom 11.01.-14.01.2026 auf unserer unfallchirurgischen Station 4 behandelt wurde.', 'offsets': [[28, 189]], 'document_id': 'Popovic.tsv'}"
"<Therapeutic>Das Ataxietraining</Therapeutic> dient dazu, die <Therapeutic>Verbesserung der Gangsicherheit</Therapeutic> zu erreichen.","<Therapeutic>Ataxietraining</Therapeutic>, <Therapeutic>Gangsicherheit verbessern</Therapeutic>","{'id': 66, 'type': 'sentence', 'text': 'Ataxietraining, Gangsicherheit verbessern', 'offsets': [[5967, 6008]], 'document_id': 'Theodor.tsv'}"
<Diagnostic>CCT</Diagnostic> und <Diagnostic>GK-CT</Diagnostic> sind Teil der <Diagnostic>Anamnese</Diagnostic>. Diese wurde übernommen von der 3 Süd. Pt mit <Diagnosis_or_Pathology>Kombiniertem Aortenvitium</Diagnosis_or_Pathology> und <Diagnosis_or_Pathology>führender Stenose</Diagnosis_or_Pathology>. Jetzt seit heute Anend gibt es eine <Diagnosis_or_Pathology>zunehmende Eintrübung</Diagnosis_or_Pathology> und <Diagnosis_or_Pathology>Dyspnoe</Diagnosis_or_Pathology>.,05.02.28: <Diagnostic>CCT</Diagnostic> und <Diagnostic>GK-CT</Diagnostic> <Diagnostic>Anamnese</Diagnostic>: Übernahme von der 3 Süd. Pt mit <Diagnosis_or_Pathology>Kombiniertem Aortenvitium</Diagnosis_or_Pathology> und <Diagnosis_or_Pathology>führender Stenose</Diagnosis_or_Pathology>. Jetzt seit heute Anend <Diagnosis_or_Pathology>zunehmend eingetrübt</Diagnosis_or_Pathology> und <Diagnosis_or_Pathology>Dyspnö</Diagnosis_or_Pathology>.,"{'id': 18, 'type': 'sentence', 'text': '05.02.28: CCT und GK-CT Anamnese: Übernahme von der 3 Süd. Pt mit Kombiniertem Aortenvitium und führender Stenose. Jetzt seit heute Anend zunehmend eingetrübt und Dyspnö.', 'offsets': [[1067, 1237]], 'document_id': 'Amanda_Alzheimer.tsv'}"
"Eine <Other_Finding>Stanzbiopsie</Other_Finding> wurde durchgeführt zur <Therapeutic>Therapieevaluation</Therapeutic> eines <Diagnosis_or_Pathology>malignen Melanoms</Diagnosis_or_Pathology> (Level IV, TD 3,75mm) im Oberbauch links.","<Other_Finding>St.p. <Therapeutic>TE</Other_Finding> eines <Diagnosis_or_Pathology>Malignen Melanoms</Therapeutic> ( Level IV, TD 3,75mm)/ Oberbauch links</Diagnosis_or_Pathology>","{'id': 10, 'type': 'sentence', 'text': 'St.p. TE eines Malignen Melanoms ( Level IV, TD 3,75mm)/ Oberbauch links', 'offsets': [[391, 463]], 'document_id': 'Schnitzler.tsv'}"
<Diagnosis_or_Pathology>Mäßige narbige Veränderungen beidseitig basal</Diagnosis_or_Pathology>. <Diagnosis_or_Pathology>Nicht abgrenzbare Rundherde</Diagnosis_or_Pathology>.,<Diagnosis_or_Pathology>Mäßige narbige Veränderungen bds. basal</Diagnosis_or_Pathology>. <Diagnosis_or_Pathology>Rundherde nicht abgrenzbar</Diagnosis_or_Pathology>.,"{'id': 86, 'type': 'sentence', 'text': 'Mäßige narbige Veränderungen bds. basal. Rundherde nicht abgrenzbar.', 'offsets': [[4586, 4654]], 'document_id': 'Colon_Fake_H.tsv'}"
<Other_Finding>Zustand nach <Therapeutic>einem Zyklus einer DTIC Hochdosis Chemotherapie</Therapeutic> am 20.5.2027 (C43.4)</Other_Finding>,<Other_Finding>Z. n. <Therapeutic>1 Zyklus einer DTIC Hochdosis Chemotherapie</Other_Finding></Therapeutic> am 20.5.2027 (C43.4),"{'id': 13, 'type': 'sentence', 'text': 'Z. n. 1 Zyklus einer DTIC Hochdosis Chemotherapie am 20.5.2027 (C43.4)', 'offsets': [[674, 744]], 'document_id': 'Ypsilanti.tsv'}"
