,sentence_id,prediction,match,category
74,27,"(2482, 2504, 'Therapeutic', 'Verbandsregime am Kopf')","(2482, 2504, 'Therapeutic', 'Verbandsregime am Kopf')",true_positive
75,27,"(2519, 2560, 'Therapeutic', 'enzymatisches Debridement mit lruxolsalbe')","(2519, 2560, 'Therapeutic', 'enzymatisches Debridement mit lruxolsalbe')",true_positive
76,27,"(2549, 2560, 'Clinical_Drug', 'lruxolsalbe')","(2549, 2560, 'Clinical_Drug', 'lruxolsalbe')",true_positive
77,27,"(2444, 2456, 'Therapeutic', 'Wundrevision')",(),false_positive
78,27,"(2444, 2504, 'Therapeutic', 'Wundrevision mil Vacusealwechsel. Das Verbandsregime am Kopf')",(),false_positive
79,27,"(2461, 2476, 'Therapeutic', 'Vacusealwechsel')",(),false_positive
80,27,"(2577, 2607, 'Therapeutic', 'erster debridierender Eingriff')",(),false_positive
81,27,(),"(2584, 2607, 'Therapeutic', 'debridierender Eingriff')",false_negative
82,28,"(2671, 2706, 'Diagnosis_or_Pathology', 'weitgehend  sauberen Wunden am Kopf')","(2671, 2706, 'Diagnosis_or_Pathology', 'weitgehend  sauberen Wunden am Kopf')",true_positive
83,28,"(2892, 2932, 'Other_Finding', 'problemlose Einheilung der Transplantate')","(2892, 2932, 'Other_Finding', 'problemlose Einheilung der Transplantate')",true_positive
84,28,"(3242, 3269, 'Diagnosis_or_Pathology', 'multiple alopezische Areale')","(3242, 3269, 'Diagnosis_or_Pathology', 'multiple alopezische Areale')",true_positive
85,28,"(2757, 2778, 'Therapeutic', 'Defektdeckung am Kopf')",(),false_positive
86,28,"(2757, 2811, 'Therapeutic', 'Defektdeckung am Kopf mit Keratinozytensprühsuspension')",(),false_positive
87,28,"(2816, 2856, 'Therapeutic', 'Spalthautsheets vorn linken Überschenkel')",(),false_positive
88,28,"(3130, 3146, 'Diagnosis_or_Pathology', 'kleinere Defekte')",(),false_positive
89,28,"(3294, 3325, 'Diagnosis_or_Pathology', 'drittgradiger Verbrennungstiefe')",(),false_positive
90,28,(),"(2636, 2656, 'Therapeutic', 'erneutes Debridement')",false_negative
91,28,(),"(2757, 2856, 'Therapeutic', 'Defektdeckung am Kopf mit Keratinozytensprühsuspension und Spalthautsheets vorn linken Überschenkel')",false_negative
92,28,(),"(2919, 2932, 'Therapeutic', 'Transplantate')",false_negative
93,28,(),"(3051, 3069, 'Therapeutic', 'nachtransplantiert')",false_negative
94,28,(),"(3122, 3156, 'Other_Finding', 'bis auf kleinere Defekte abgeheilt')",false_negative
95,28,(),"(3162, 3177, 'Other_Finding', 'Entnahmestellen')",false_negative
96,28,(),"(3183, 3206, 'Other_Finding', 'gänzlich reepithelisert')",false_negative
97,28,(),"(3286, 3325, 'Diagnosis_or_Pathology', 'initial drittgradiger Verbrennungstiefe')",false_negative
98,29,"(3364, 3425, 'Therapeutic', 'Defektdeckung des mittlerweile sauber granulierenden Defektes')",(),false_positive
99,29,"(3382, 3443, 'Diagnosis_or_Pathology', 'mittlerweile sauber granulierenden Defektes am II. Handrücken')",(),false_positive
100,29,(),"(3364, 3466, 'Therapeutic', 'Defektdeckung des mittlerweile sauber granulierenden Defektes am II. Handrücken mittels Spalthautsheet')",false_negative
101,29,(),"(3395, 3443, 'Diagnosis_or_Pathology', 'sauber granulierenden Defektes am II. Handrücken')",false_negative
102,30,"(3471, 3505, 'Diagnosis_or_Pathology', 'temporare Arthrodese im Handgelenk')",(),false_positive
103,30,"(3536, 3543, 'Therapeutic', 'Physio-')",(),false_positive
104,30,"(3549, 3578, 'Therapeutic', 'ergotherapeutische Behandlung')",(),false_positive
105,30,(),"(3471, 3505, 'Therapeutic', 'temporare Arthrodese im Handgelenk')",false_negative
106,30,(),"(3526, 3534, 'Therapeutic', 'entfernt')",false_negative
107,30,(),"(3536, 3578, 'Therapeutic', 'Physio- bzw. ergotherapeutische Behandlung')",false_negative
108,30,(),"(3585, 3608, 'Therapeutic', 'begleitend durchgeführt')",false_negative
109,31,"(3610, 3650, 'Diagnosis_or_Pathology', 'Intensivmedizinischer  Krankheitsverlauf')",(),false_positive
110,31,"(3632, 3650, 'Diagnosis_or_Pathology', ' Krankheitsverlauf')",(),false_positive
111,31,(),"(3633, 3650, 'Diagnosis_or_Pathology', 'Krankheitsverlauf')",false_negative
112,32,"(3975, 3984, 'Clinical_Drug', 'Furosemid')","(3975, 3984, 'Clinical_Drug', 'Furosemid')",true_positive
113,32,"(4044, 4070, 'Therapeutic', 'Entwöhnung vom  Respirator')","(4044, 4070, 'Therapeutic', 'Entwöhnung vom  Respirator')",true_positive
114,32,"(4126, 4149, 'Other_Finding', 'intakten Schutzreflexen')","(4126, 4149, 'Other_Finding', 'intakten Schutzreflexen')",true_positive
115,32,"(4193, 4218, 'Other_Finding', 'suffiziente Spontanatmung')","(4193, 4218, 'Other_Finding', 'suffiziente Spontanatmung')",true_positive
116,32,"(3760, 3787, 'Diagnosis_or_Pathology', 'reduzierter Analgosedierung')",(),false_positive
117,32,"(3824, 3849, 'Therapeutic', 'FIüssigkeitseinlagerungen')",(),false_positive
118,32,"(3882, 3923, 'Therapeutic', 'FIüssigkeitstherapie nach Baxter-Parkland')",(),false_positive
119,32,"(3953, 3984, 'Therapeutic', 'forcierte Diurese mit Furosemid')",(),false_positive
120,32,"(4004, 4016, 'Therapeutic', 'Oxygenierung')",(),false_positive
121,32,"(4044, 4060, 'Therapeutic', 'Entwöhnung vom  ')",(),false_positive
122,32,"(4060, 4070, 'Clinical_Drug', 'Respirator')",(),false_positive
123,32,"(4230, 4259, 'Other_Finding', 'peripheren Sauerstoffsättgung')",(),false_positive
124,32,(),"(3716, 3728, 'Diagnostic', 'kontrolliert')",false_negative
125,32,(),"(3760, 3787, 'Therapeutic', 'reduzierter Analgosedierung')",false_negative
126,32,(),"(3788, 3818, 'Therapeutic', 'augmentiert maschinell beatmet')",false_negative
127,32,(),"(3824, 3871, 'Diagnosis_or_Pathology', 'FIüssigkeitseinlagerungen pulmonal und peripher')",false_negative
128,32,(),"(3882, 3930, 'Therapeutic', 'FIüssigkeitstherapie nach Baxter-Parkland Formel')",false_negative
129,32,(),"(3931, 3984, 'Therapeutic', 'induzierten wir eine  forcierte Diurese mit Furosemid')",false_negative
130,32,(),"(4004, 4038, 'Other_Finding', 'Oxygenierung im Verlauf suffizient')",false_negative
131,32,(),"(4150, 4159, 'Therapeutic', 'extubiert')",false_negative
132,32,(),"(4230, 4283, 'Other_Finding', 'peripheren Sauerstoffsättgung von 98%  unter Raumluft')",false_negative
133,33,"(4336, 4355, 'Diagnosis_or_Pathology', 'mildes Entzugsdelir')","(4336, 4355, 'Diagnosis_or_Pathology', 'mildes Entzugsdelir')",true_positive
134,33,"(4376, 4384, 'Clinical_Drug', 'Clonidin')","(4376, 4384, 'Clinical_Drug', 'Clonidin')",true_positive
135,33,"(4415, 4456, 'Diagnosis_or_Pathology', 'intermittierende psychotische Symptomatik')","(4415, 4456, 'Diagnosis_or_Pathology', 'intermittierende psychotische Symptomatik')",true_positive
136,33,"(4487, 4496, 'Clinical_Drug', 'Lorazepam')","(4487, 4496, 'Clinical_Drug', 'Lorazepam')",true_positive
137,33,"(4498, 4503, 'Clinical_Drug', 'Tavor')","(4498, 4503, 'Clinical_Drug', 'Tavor')",true_positive
138,33,"(4510, 4521, 'Clinical_Drug', 'Haloperidol')","(4510, 4521, 'Clinical_Drug', 'Haloperidol')",true_positive
139,33,"(4523, 4529, 'Clinical_Drug', 'Haldol')","(4523, 4529, 'Clinical_Drug', 'Haldol')",true_positive
140,33,"(4597, 4607, 'Clinical_Drug', 'Risperidon')","(4597, 4607, 'Clinical_Drug', 'Risperidon')",true_positive
141,33,"(4609, 4618, 'Clinical_Drug', 'Risperdal')","(4609, 4618, 'Clinical_Drug', 'Risperdal')",true_positive
142,33,"(4634, 4694, 'Therapeutic', 'vorbestehende antiepileptische Medikation mit Levothiracetam')","(4634, 4694, 'Therapeutic', 'vorbestehende antiepileptische Medikation mit Levothiracetam')",true_positive
143,33,"(4680, 4694, 'Clinical_Drug', 'Levothiracetam')","(4680, 4694, 'Clinical_Drug', 'Levothiracetam')",true_positive
144,33,"(4696, 4702, 'Clinical_Drug', 'Keppra')","(4696, 4702, 'Clinical_Drug', 'Keppra')",true_positive
145,33,"(4290, 4320, 'Therapeutic', 'Beendigung der Analgosedierung')",(),false_positive
146,33,"(4498, 4504, 'Clinical_Drug', 'Tavor®')",(),false_positive
147,33,"(4503, 4504, 'Clinical_Drug', '®')",(),false_positive
148,33,"(4523, 4530, 'Clinical_Drug', 'Haldol®')",(),false_positive
149,33,"(4529, 4530, 'Clinical_Drug', '®')",(),false_positive
150,33,"(4565, 4575, 'Clinical_Drug', 'Medikation')",(),false_positive
151,33,"(4609, 4619, 'Clinical_Drug', 'Risperdal®')",(),false_positive
152,33,"(4618, 4619, 'Clinical_Drug', '®')",(),false_positive
153,33,"(4696, 4703, 'Clinical_Drug', 'Keppra®')",(),false_positive
154,33,"(4702, 4703, 'Clinical_Drug', '®')",(),false_positive
155,33,"(4746, 4769, 'Other_Finding', 'psychiatrischen Verlauf')",(),false_positive
156,33,(),"(4305, 4320, 'Therapeutic', 'Analgosedierung')",false_negative
157,33,(),"(4361, 4394, 'Other_Finding', 'suffizient mit Clonidin behandlet')",false_negative
158,33,(),"(4457, 4521, 'Therapeutic', 'therapierten wir zunächst mit Lorazepam (Tavor®) und Haloperidol')",false_negative
159,33,(),"(4565, 4575, 'Therapeutic', 'Medikation')",false_negative
160,33,(),"(4576, 4628, 'Therapeutic', 'einschleichend durch Risperidon (Risperdal®) ersetzt')",false_negative
161,34,"(4825, 4852, 'Other_Finding', 'positive FIüssigkeitsbilanz')","(4825, 4852, 'Other_Finding', 'positive FIüssigkeitsbilanz')",true_positive
162,34,"(5026, 5062, 'Therapeutic', 'antiödematöse Therapie mit Furosemid')","(5026, 5062, 'Therapeutic', 'antiödematöse Therapie mit Furosemid')",true_positive
163,34,"(5053, 5062, 'Clinical_Drug', 'Furosemid')","(5053, 5062, 'Clinical_Drug', 'Furosemid')",true_positive
164,34,"(4860, 4867, 'Therapeutic', 'Diurese')",(),false_positive
165,34,"(4878, 4898, 'Therapeutic', 'FIüssigkeitstherapie')",(),false_positive
166,34,"(5078, 5097, 'Other_Finding', 'Retentionsparameter')",(),false_positive
167,34,"(5115, 5126, 'Other_Finding', 'Normbereich')",(),false_positive
168,34,(),"(4860, 4981, 'Other_Finding', 'Diurese war unter FIüssigkeitstherapie unter Anlehnung an die Baxter-Parklandformel qualitativ und quantitativ suffizient')",false_negative
169,34,(),"(4878, 4943, 'Therapeutic', 'FIüssigkeitstherapie unter Anlehnung an die Baxter-Parklandformel')",false_negative
170,34,(),"(5078, 5126, 'Other_Finding', 'Retentionsparameter lagen allzeit im Normbereich')",false_negative
171,35,"(5134, 5159, 'Therapeutic', 'adäquater Volumentherapie')","(5134, 5159, 'Therapeutic', 'adäquater Volumentherapie')",true_positive
172,35,"(5278, 5300, 'Diagnosis_or_Pathology', 'arteriellem Hypertonus')","(5278, 5300, 'Diagnosis_or_Pathology', 'arteriellem Hypertonus')",true_positive
173,35,"(5336, 5346, 'Clinical_Drug', 'Metoprolol')","(5336, 5346, 'Clinical_Drug', 'Metoprolol')",true_positive
174,35,"(5348, 5362, 'Clinical_Drug', 'Beloc zok mite')","(5348, 5362, 'Clinical_Drug', 'Beloc zok mite')",true_positive
175,35,"(5369, 5377, 'Clinical_Drug', 'Ramipril')","(5369, 5377, 'Clinical_Drug', 'Ramipril')",true_positive
176,35,"(5379, 5384, 'Clinical_Drug', 'Delix')","(5379, 5384, 'Clinical_Drug', 'Delix')",true_positive
177,35,"(5417, 5456, 'Other_Finding', 'zufriedenstellende Blutdruckeinstellung')","(5417, 5456, 'Other_Finding', 'zufriedenstellende Blutdruckeinstellung')",true_positive
178,35,"(5237, 5267, 'Therapeutic', 'Beendigung der Analgosedierung')",(),false_positive
179,35,"(5306, 5377, 'Therapeutic', 'antihypertensive Therapie mit Metoprolol (Beloc zok mite®) und Ramipril')",(),false_positive
180,35,"(5306, 5346, 'Therapeutic', 'antihypertensive Therapie mit Metoprolol')",(),false_positive
181,35,"(5348, 5363, 'Clinical_Drug', 'Beloc zok mite®')",(),false_positive
182,35,"(5379, 5385, 'Clinical_Drug', 'Delix®')",(),false_positive
183,35,"(5384, 5385, 'Clinical_Drug', '®')",(),false_positive
184,35,(),"(5210, 5230, 'Other_Finding', 'hämodynamisch stabil')",false_negative
185,35,(),"(5252, 5267, 'Therapeutic', 'Analgosedierung')",false_negative
186,35,(),"(5306, 5395, 'Therapeutic', 'antihypertensive Therapie mit Metoprolol (Beloc zok mite®) und Ramipril (Delix®) begonnen')",false_negative
187,36,"(5464, 5479, 'Therapeutic', 'Analgosedierung')","(5464, 5479, 'Therapeutic', 'Analgosedierung')",true_positive
188,36,"(5554, 5565, 'Therapeutic', 'Stimulation')","(5554, 5565, 'Therapeutic', 'Stimulation')",true_positive
189,36,"(5622, 5632, 'Therapeutic', 'Extubation')","(5622, 5632, 'Therapeutic', 'Extubation')",true_positive
190,36,"(5644, 5660, 'Therapeutic', 'orale Kostaufbau')","(5644, 5660, 'Therapeutic', 'orale Kostaufbau')",true_positive
191,36,"(5497, 5547, 'Therapeutic', 'enterale Ernährung über die einliegende Magensonde')",(),false_positive
192,36,(),"(5480, 5547, 'Therapeutic', 'begannen wir die enterale Ernährung über die einliegende Magensonde')",false_negative
193,36,(),"(5549, 5615, 'Other_Finding', 'Nach Stimulation führte Frau Albers am 26.3.2029 zum ersten Mal ab')",false_negative
194,37,"(5712, 5735, 'Diagnosis_or_Pathology', 'Psychiatrischer Verlauf')",(),false_positive
195,38,"(5832, 5846, 'Therapeutic', 'Psychotherapie')","(5832, 5846, 'Therapeutic', 'Psychotherapie')",true_positive
196,38,"(6192, 6215, 'Therapeutic', 'medikamentösen Therapie')","(6192, 6215, 'Therapeutic', 'medikamentösen Therapie')",true_positive
197,38,"(6244, 6260, 'Diagnosis_or_Pathology', 'Selbstverletzung')","(6244, 6260, 'Diagnosis_or_Pathology', 'Selbstverletzung')",true_positive
198,38,"(6618, 6630, 'Diagnosis_or_Pathology', 'Verletzungen')","(6618, 6630, 'Diagnosis_or_Pathology', 'Verletzungen')",true_positive
199,38,"(6373, 6406, 'Therapeutic', 'freiwilligen stationären Aufnahme')",(),false_positive
200,38,"(6434, 6454, 'Other_Finding', 'Unterbringungsgründe')",(),false_positive
201,38,(),"(5736, 5753, 'Diagnostic', 'Fremdanamnestisch')",false_negative
202,38,(),"(5783, 5804, 'Therapeutic', 'ambulant behandelnden')",false_negative
203,38,(),"(5910, 5926, 'Diagnosis_or_Pathology', 'akut psychotisch')",false_negative
204,38,(),"(5961, 6007, 'Therapeutic', 'antipsychotische Erhaltungsmedikation von 2 mg')",false_negative
205,38,(),"(6023, 6043, 'Therapeutic', 'ambulant behandelnde')",false_negative
206,38,(),"(6134, 6146, 'Therapeutic', 'behandelnden')",false_negative
207,38,(),"(6434, 6454, 'Therapeutic', 'Unterbringungsgründe')",false_negative
208,38,(),"(6474, 6517, 'Therapeutic', 'Vorstellung bei der ambulanten Psychiaterin')",false_negative
209,39,"(6748, 6772, 'Diagnosis_or_Pathology', 'erhebliche Denkstörungen')","(6748, 6772, 'Diagnosis_or_Pathology', 'erhebliche Denkstörungen')",true_positive
210,39,"(7092, 7111, 'Therapeutic', 'Sedierung mit Tavor')","(7092, 7111, 'Therapeutic', 'Sedierung mit Tavor')",true_positive
211,39,"(7106, 7111, 'Clinical_Drug', 'Tavor')","(7106, 7111, 'Clinical_Drug', 'Tavor')",true_positive
212,39,"(7121, 7147, 'Therapeutic', 'Umstellung auf Haloperidol')","(7121, 7147, 'Therapeutic', 'Umstellung auf Haloperidol')",true_positive
213,39,"(7136, 7147, 'Clinical_Drug', 'Haloperidol')","(7136, 7147, 'Clinical_Drug', 'Haloperidol')",true_positive
214,39,"(7271, 7285, 'Clinical_Drug', '6 mg Risperdal')","(7271, 7285, 'Clinical_Drug', '6 mg Risperdal')",true_positive
215,39,"(7302, 7307, 'Clinical_Drug', 'Tavor')","(7302, 7307, 'Clinical_Drug', 'Tavor')",true_positive
216,39,"(6791, 6802, 'Other_Finding', 'Wahnerleben')",(),false_positive
217,39,"(7092, 7147, 'Therapeutic', 'Sedierung mit Tavor und nach Umstellung auf Haloperidol')",(),false_positive
218,39,"(7164, 7175, 'Diagnosis_or_Pathology', 'Symptomatik')",(),false_positive
219,39,"(7203, 7230, 'Clinical_Drug', 'antipsychotische Medikation')",(),false_positive
220,39,(),"(6791, 6819, 'Diagnosis_or_Pathology', 'Wahnerleben an, Gott zu sein')",false_negative
221,39,(),"(6856, 6899, 'Diagnosis_or_Pathology', 'linke Hand mit dem Brotmesser abgeschnitten')",false_negative
222,39,(),"(6986, 7005, 'Diagnosis_or_Pathology', 'erheblich inadäquat')",false_negative
223,39,(),"(7148, 7175, 'Other_Finding', 'sistierte diese Symptomatik')",false_negative
224,39,(),"(7203, 7230, 'Therapeutic', 'antipsychotische Medikation')",false_negative
225,39,(),"(7252, 7296, 'Therapeutic', 'auf eine Dosis von 6 mg Risperdal umstellten')",false_negative
226,39,(),"(7316, 7331, 'Therapeutic', 'auszuschleichen')",false_negative
227,40,"(7388, 7409, 'Diagnosis_or_Pathology', 'psychotischem Erleben')","(7388, 7409, 'Diagnosis_or_Pathology', 'psychotischem Erleben')",true_positive
228,40,"(7705, 7713, 'Therapeutic', 'Therapie')","(7705, 7713, 'Therapeutic', 'Therapie')",true_positive
229,40,"(7811, 7822, 'Clinical_Drug', 'Medikamente')","(7811, 7822, 'Clinical_Drug', 'Medikamente')",true_positive
230,40,"(7508, 7543, 'Therapeutic', 'stationäre psychiatrische Verlegung')",(),false_positive
231,40,(),"(7361, 7383, 'Diagnosis_or_Pathology', 'weitgehend distanziert')",false_negative
232,40,(),"(7411, 7416, 'Other_Finding', 'ruhig')",false_negative
233,40,(),"(7418, 7432, 'Other_Finding', 'gut im Kontakt')",false_negative
234,40,(),"(7437, 7446, 'Other_Finding', 'bedauerte')",false_negative
235,40,(),"(7578, 7600, 'Therapeutic', 'motivierenden Gespräch')",false_negative
236,40,(),"(7827, 7833, 'Diagnosis_or_Pathology', 'Affekt')",false_negative
237,40,(),"(7859, 7906, 'Diagnosis_or_Pathology', 'distanziert zur Dramatik ihrer Selbstverletzung')",false_negative
238,41,"(8033, 8075, 'Therapeutic', 'stationäre intensivmedizinische Behandlung')","(8033, 8075, 'Therapeutic', 'stationäre intensivmedizinische Behandlung')",true_positive
239,41,"(8176, 8201, 'Diagnosis_or_Pathology', 'schweren Selbstverletzung')","(8176, 8201, 'Diagnosis_or_Pathology', 'schweren Selbstverletzung')",true_positive
240,41,"(8273, 8295, 'Diagnosis_or_Pathology', 'Folgeschaden im Alltag')","(8273, 8295, 'Diagnosis_or_Pathology', 'Folgeschaden im Alltag')",true_positive
241,41,"(8106, 8163, 'Therapeutic', 'sozialpsychiatrische Einbettung in ein ambulantes Setting')",(),false_positive
242,41,"(8223, 8285, 'Therapeutic', 'therapeutische Begleitung bei der Bewältigung der Folgeschaden')",(),false_positive
243,41,(),"(7944, 8012, 'Therapeutic', 'Belastungserprobung unter zunehmender Konfrontation milder Außenwelt')",false_negative
244,41,(),"(8223, 8248, 'Therapeutic', 'therapeutische Begleitung')",false_negative
245,41,(),"(8257, 8285, 'Therapeutic', 'Bewältigung der Folgeschaden')",false_negative
